[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=43.88)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=43.42)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=43.91)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=48.9)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=42.12)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Malicious (score=59.47)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=45.31)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=44.96)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=45.98)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=43.28)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=45.93)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=43.64)
[2026-04-06 22:00:52] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:52] WARNING  | Detector | Prediction: Suspicious (score=43.86)
[2026-04-06 22:00:53] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:53] WARNING  | Detector | Prediction: Suspicious (score=45.92)
[2026-04-06 22:00:53] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:53] WARNING  | Detector | Prediction: Suspicious (score=45.38)
[2026-04-06 22:00:53] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:53] WARNING  | Detector | Prediction: Suspicious (score=45.91)
